handle,name,file,seconds
2,Dark amb v4,Dark amb v4.wav,59.169
3,metal_duct_fast,metal_duct_fast.wav,19.083
4,metal_duct_slow,metal_duct_slow.wav,38.165
6,control room power down vrs 4,control room power down vrs 4.wav,18.876
7,fanv4,fanv4.wav,9.934
10,Powerdownv2,Powerdownv2.wav,2.136
12,Sound_Design-Po_1_Dec05,Sound_Design-Po_1_Dec05.wav,8.955
13,elbuzz,elbuzz.wav,13.270
14,ELECTRONIC_BUZZ__60756002,ELECTRONIC_BUZZ__60756002.wav,0.290
15,Grndloopelectric25,Grndloopelectric25.wav,0.459
19,BallastHum4,BallastHum4.wav,6.194
20,control room power down vrs3,control room power down vrs3.wav,18.876
21,pop1,pop1.wav,1.055
22,flash,flash.wav,1.754
23,Door-Me_71G_HD2-29627,Door-Me_71G_HD2-29627.wav,2.961
24,Door-Me_78G_HD2-29672,Door-Me_78G_HD2-29672.wav,2.276
25,Door-Me_68G_HD2-29705,Door-Me_68G_HD2-29705.wav,1.939
26,Bin-Met_21G_HD2-28014,Bin-Met_21G_HD2-28014.wav,1.277
27,Door-Me_58G_HD2-29632,Door-Me_58G_HD2-29632.wav,1.939
28,Bin-Met_28G_HD2-28022,Bin-Met_28G_HD2-28022.wav,1.730
29,entryway vent2,entryway vent2.wav,2.763
30,Ballora_gallery,Ballora_gallery.wav,2.874
31,funtime_auditorium,funtime_auditorium.wav,3.335
32,Bin-Meta_3G_HD2-28008,Bin-Meta_3G_HD2-28008.wav,1.324
33,Bin-Meta_2G_HD2-28009,Bin-Meta_2G_HD2-28009.wav,1.312
34,Bin-Meta_5G_HD2-28013,Bin-Meta_5G_HD2-28013.wav,1.382
35,Bin-Meta_7G_HD2-28010,Bin-Meta_7G_HD2-28010.wav,1.382
36,glass_pressure,glass_pressure.wav,4.356
37,circus gallery,circus gallery.wav,2.914
38,breaker room,breaker room.wav,2.296
39,HandUnit12,HandUnit12.wav,7.184
40,parts and service,parts and service.wav,3.037
41,recharge2,recharge2.wav,21.161
42,ElecEnergy_ImpactSpark03,ElecEnergy_ImpactSpark03.wav,2.519
43,ELECTRICITY_SING_80062805,ELECTRICITY_SING_80062805.wav,1.345
44,HandUnit14,HandUnit14.wav,14.577
46,HandUnit03,HandUnit03.wav,6.613
47,HandUnit13,HandUnit13.wav,2.811
48,metal_sliding,metal_sliding.wav,14.285
49,HandUnit04A,HandUnit04A.wav,26.931
50,HandUnit04B,HandUnit04B.wav,24.746
51,denied,denied.wav,2.048
52,HandUnit05,HandUnit05.wav,11.499
53,HandUnit06,HandUnit06.wav,2.041
54,HandUnit07,HandUnit07.wav,17.593
55,HandUnit08,HandUnit08.wav,6.647
56,HandUnit09,HandUnit09.wav,2.458
57,HandUnit10,HandUnit10.wav,10.123
58,HandUnit11,HandUnit11.wav,6.467
59,Snapmouse_1_clk_3,Snapmouse_1_clk_3.wav,0.270
60,SwitchPush_S08FO_2523,SwitchPush_S08FO_2523.wav,0.360
61,SWITCH_PULLSTRIN_CT027002,SWITCH_PULLSTRIN_CT027002.wav,0.534
62,HandUnit01c,HandUnit01c.wav,25.723
63,HandUnit01d,HandUnit01d.wav,6.012
64,Night 2-01,Night 2-01.wav,17.248
65,Bswalkie_beep_5,Bswalkie_beep_5.wav,0.248
66,BuzzBeepHiTechShrTHE_HY018503,BuzzBeepHiTechShrTHE_HY018503.wav,0.757
67,HandUnit02A,HandUnit02A.wav,8.143
68,HandUnit02B,HandUnit02B.wav,1.098
69,ventbang1,ventbang1.wav,1.382
70,ventbang2,ventbang2.wav,1.661
71,ventbang3,ventbang3.wav,1.251
72,ventbang4,ventbang4.wav,1.382
73,Night 2-02,Night 2-02.wav,13.723
74,Night 2-04,Night 2-04.wav,8.787
75,Night 2-05,Night 2-05.wav,1.364
76,Angsty01,Angsty01.wav,8.205
77,Angsty02,Angsty02.wav,9.721
78,Angsty03,Angsty03.wav,8.391
79,Angsty04,Angsty04.wav,7.171
80,Door-Me_77G_HD2-29671,Door-Me_77G_HD2-29671.wav,1.614
81,metal_crawling,metal_crawling.wav,15.904
82,Angsty06,Angsty06.wav,4.791
85,Night 2-06,Night 2-06.wav,9.859
87,scream op5-8,scream op5-8.wav,3.492
89,Night 2-08,Night 2-08.wav,6.671
91,Night 2-09,Night 2-09.wav,7.152
92,Night 2-10,Night 2-10.wav,2.334
93,Night 2-11,Night 2-11.wav,20.869
95,ELECTRONIC_BUZZ__60755901,ELECTRONIC_BUZZ__60755901.wav,0.328
96,technicial control,technicial control.wav,2.895
98,Bin-Met_19G_HD2-28018,Bin-Met_19G_HD2-28018.wav,1.277
99,Door-Me_64G_HD2-29635,Door-Me_64G_HD2-29635.wav,1.718
100,Door-Me_67G_HD2-29640,Door-Me_67G_HD2-29640.wav,2.380
101,Door-Me_90G_HD2-29598,Door-Me_90G_HD2-29598.wav,2.461
113,scream op5-9,scream op5-9.wav,4.127
116,Angsty05e,Angsty05e.wav,14.886
117,great5,great5.wav,1.277
119,BComputerBeepHighOTHE_HY018802,BComputerBeepHighOTHE_HY018802.wav,0.150
120,BComputerBeepHighPTHE_HY018902,BComputerBeepHighPTHE_HY018902.wav,0.311
121,scream op5-7,scream op5-7.wav,3.184
123,BComputerBeepHighOTHE_HY018803,BComputerBeepHighOTHE_HY018803.wav,0.258
137,Snapmouse_1_clk_2,Snapmouse_1_clk_2.wav,0.192
139,faceopen,faceopen.wav,1.870
142,SwitchPlastic_S08FO_2518,SwitchPlastic_S08FO_2518.wav,0.755
149,scream op5-2,scream op5-2.wav,5.955
152,Idlev3,Idlev3.wav,19.873
153,faceopen2,faceopen2.wav,1.870
160,assembly (2),assembly (2).wav,17.012
162,debris2,debris2.wav,2.965
163,Metal_Pierce_Shatter_Brittlle,Metal_Pierce_Shatter_Brittlle.wav,0.846
164,debris3,debris3.wav,2.243
165,Metal_Pierce_Crunch_Shatter,Metal_Pierce_Crunch_Shatter.wav,1.130
166,debris1,debris1.wav,2.612
167,alarm,alarm.wav,5.452
169,SWITCHES_SWITCH__WK019502,SWITCHES_SWITCH__WK019502.wav,0.669
170,SwitchToggle_S08FO_2526,SwitchToggle_S08FO_2526.wav,0.116
173,pop3,pop3.wav,0.537
174,pop4,pop4.wav,0.778
175,tone4,tone4.wav,0.061
177,elevator idle loopv4,elevator idle loopv4.wav,13.867
185,Door-Me_81G_HD2-29697,Door-Me_81G_HD2-29697.wav,1.904
186,PREL_STATIC_BLIP_S,PREL_STATIC_BLIP_S.wav,0.325
201,ABuzzBeepHi,ABuzzBeepHi.wav,0.250
202,scary amb 4,scary amb 4.wav,29.885
217,scary amb 3,scary amb 3.wav,32.433
221,SwitchesIndustrial_SS02_82_11,SwitchesIndustrial_SS02_82_11.wav,1.149
222,impact,impact.wav,2.594
224,Static2,Static2.wav,3.980
231,ASquareWave,ASquareWave.wav,0.184
233,comm2,comm2.wav,1.464
234,an1,an1.wav,1.613
235,short2,short2.wav,1.888
236,short1,short1.wav,2.592
237,baby1,baby1.wav,0.700
238,car,car.wav,1.753
239,Bswalkie_beep_4,Bswalkie_beep_4.wav,0.191
240,SFXBible_11581,SFXBible_11581.wav,0.482
241,SFXBible_11582,SFXBible_11582.wav,0.236
246,line_1,line_1.wav,6.505
247,line_2,line_2.wav,6.749
248,line_3,line_3.wav,10.043
249,line_4,line_4.wav,11.747
250,line_5,line_5.wav,3.318
251,line_6,line_6.wav,14.798
253,VampSoap_Episode1_NewIntro,VampSoap_Episode1_NewIntro.wav,51.500
255,VampSoap_Episode2_NewIntro,VampSoap_Episode2_NewIntro.wav,58.833
256,VampSoap_Episode3_NewIntro,VampSoap_Episode3_NewIntro.wav,44.833
257,VampSoap_Episode4_NewIntro,VampSoap_Episode4_NewIntro.wav,66.633
258,jump2,jump2.wav,0.286
259,land3,land3.wav,0.039
260,collect,collect.wav,0.150
261,toss1,toss1.wav,0.062
262,Turtle CrusherC,Turtle CrusherC.wav,145.067
263,eat,eat.wav,0.275
264,die,die.wav,1.261
265,goal sound,goal sound.wav,1.164
266,scream op3-2,scream op3-2.wav,5.353
267,granted,granted.wav,1.900
270,statichum4,statichum4.wav,1.215
299,Doorslam,Doorslam.wav,2.261
300,flipup2,flipup2.wav,2.398
301,putdown,putdown.wav,0.806
302,change screen1,change screen1.wav,0.724
303,change screen3,change screen3.wav,1.422
304,scream op5-6,scream op5-6.wav,3.652
314,thud2,thud2.wav,0.369
315,movement (2),movement (2).wav,25.813
316,thud3,thud3.wav,0.461
